street,extent
SAVINGS BANK OF BALTIMORE,"iV. TT. corner of Gay and Second Streets Archibald Stirling, President David Baldwin, Treasurer DIRECTORS Basil S. Elder, Thos. Whitridge A. Schumacher, Benjamin Deford Michael Warner, James I. Fisher Robert P. Brown, Joseph Gushing, jr Chauncy Brooks, Thos. C. Jenkins Deeter Bargar, Solomon Corner Edward Kurtz, N. Popplein Galloway Cheston, Samuel Kirby Wm. McKim, George S. Brown Austin Jenkins, Wm. Lamping Wm. Kennedy, George N. Eaton Alonzo Lilly, Thos. M. Smith"
EUTAW SAVINGS BANK,"^S&quot;. E. Corner Eataw and Fayette Streets Jesse Hunt, President Edw. T. Owens, Treasurer DIRECTORS Jesse Hunt. Henry R. Lauderman George Bartlett, John Coates James Harvey, Aaron Fenton John Gushing, Elisha H. Perkins Francis Burns, J. Robert Israel Alexander Kirkland, Wm. J. Rieman Asa Needham, John Gregg J. Mason Campbell, Samuel R. Smith Chas. D. Slingluff, Geo. P. Thomas Matthew B. Clark, Francis Dawes Alfred Jenkins, J. Harman Brown William Devries Daniel Miller Willam W^ilson, jr"
DIME SAVINGS BANK OF BALTIMORE,"Francis T. King, President John Cdrlett, Vice-President John Mason, Treasurer F. W. Brunb, Attorney directors Geo. W. Corner, Chas. J. Baker W. B. Canfield, Dr. J. F. Monmonier Daniel J. Foley, D. L. Bartlett J. B. Seidenstricker, Robert Turner Wm. Bridges, F. W. Brune John M. Orem, John Brannan Thos. J. Wilson, Wm. Numsen Geo. Sanders, Wm. Woodward John Gurlett, James Carey Geo. A. Pope, Jesse Tyson German II. Hunt, Christain Ax This Bank is open daily for receiving posits of any amount and paying money, from Interest at the rate of four per cent, per num allowed on deposits, and an extra divi dend of surplus profits made every third year amongst the depositors Married Women and Minors can make posits in their own name, and the money held eubject to their exclusive control The GROVER AND BAKER"
GERMAN SAVINGS BANK OF BALTI,
MORE CITY,
MANAGERS,
RAILROADS,
BALTIMORE AND OHIO RAILROAD,Road tion de
NORTHERN CENTRAL RAILWAY,an
SEWING MACHINE,is the
"PHILADELPHIA, WILMINGTON AND",
BALTIMORE RAILROAD,"President Street, Corner Canton Avenue Isaac Hinckley, President Wm. Crawford, Agent C. K. Ide, Master of Transportation H. F. Kenney, Superintendent Alfred Horxer, Secretary and Treasurer"
STEAMERS AND STEAMBOATS,"Baltimore and Bremen Steamship Line For Bremen, Havre, London and Southampton more, Captain Voeckler, Berlin, Captain Un London, Havre, Southampton, and Bremen For freight or passage apply to the Agents A. SCHUMACHER &amp; CO Baltimore Potomac Transportation Line for Alex ander, Washington and Georgetown Making freight connections at Aquia Creek ■with Richmond, Fredericksburg and Potomac Railroad The steamer Express, Capt. A. C. Nickle The steamers of the Richmond and York Street wharf, foot of Barre, every Monday M., for Richmond, via R. &amp; Y. Railroad For further information apply to A. Needham &amp; Sons, Agents Individual Enterprise Steamboat Line for Eastern and Western Shore Maryland Steamers will leave the wharf, Light street foot of Camden, as follows : For Annapolis, daily, (Sunday excepted,) For Oxford, Cambridge and intermediate M. Returning Monday, and Thursday For Easton, Oxford, Cambridge and' Lloyds P. M., returning Monday, Wednesday Friday nights"
"FOLGER, ROBERTS","&amp; Co Eest for all purposes. Sales Rooms U. S. Mail the Landings at Washington, Alexandria and George town, Steam Packet Company The steamer Thomas E. Cahill, leaves Com merce street wharf every Tuesday afternooa for Alexandria and Georgetown, stopping at Kinsale aud Ctirrioman The steamer Columbia, captain James Har per, leaves the same wharf every Saturday, at and Georgetown, stopping at her landings on the Potomac To insure shipment freight must be sent by For further information, apply to Charles Worthington, Agent For Crisfield, Pocomoke River, New town, Pungoteague, Hunger's Wharf and Cherrystone The Steamer Sue, Captain W. F. Veasey € o'clock P. M, for Crisfield, Pungoteague Hunger's Wharf and Cherrystone receiving freight each trip for all stations on Delaware and Eastern Shore Railroad. Returning, leave the above places every Monday and Thursday sailing, and must be prepaid P. R. Clarke, Agent no Light street, Baltimore Baltimore and Susquehanna Steam Company Regular Daily Line (except Sunday) for Port Deposit, Havre de Grace and Tidewater Canal The Steamer .luniata will leave West Palls avenue every Tuesday, Thursday and Satur leave Port Deposit every Monday, Wednesday The Steamer Lancaster will leave West Falls avenue every Monday, Wednesday and Friday Port Deposit every Tuesday, Thursday and Jos. Ja8. Taylor, Agent Steamer Balloon For Miles and Wye River Landings, will leave Light street wharf every Tuesday, Wed nesday, Friday and Saturday Baltimore and. Liverpool Steamship Line In connection with the Baltimore and Ohio Railroad, for Liverpool. Carrying the U. S Mail. Comprising the first-class Sieamshipa Worcester, Somerset and Carroll. Office Canj"
SMITH BROS,"&amp; CO., Tailors dock Concord street P. M"
EXPRESSES,
ADAMS' EXPRESS COMPANY,
HARNDEN EXPRESS,
EXPRESS,
JOHN M,McCLINTOCK
NATIONAL EXPRESS COMPANY,
UNION TRANSFER COMPANY BAGGAGE,
EXPRESS,"S^A G E S Anderson's Stage to Belair Tuesdays, Thursdays ,and Saturdays, at o'clock A. M Scarflf's Line to Kellville and Belair returning next day Lonjj; Greene, Harford Road Stage Leaves Starr Hotel, corner Front and Low-sts Franklin, Wetheredsvillo and Powhatan Stages Pikesville Stage Leaves Hand Tavern, Paca street, daily, at Z\ o'clock, P. M"
TELEGRAPHS,Street Depot place Telegraph Company
SMITH BKOS,"&amp; CO., Tailors"
CITY PASSENGER RAILWAY,
HENRY TYSON,
MADISON AVENUE LINE,
FRANKLIN SQUARE LINE,
PENNA. AVENUE AND SOUTH BALTI,
MORE LINE,
NORTH BALTIMORE LINE,
CANTON LINE,
YORK ROAD RAILWAY,
OATONSVILLE,&amp; ELLICOTT
CITY RAILWAY,
NOTARIES PUBLIC,
RESIDENT COMMISSIONERS,"H. R. Root, &quot;74 w Fayette"
SOCIETIES,
MASONS,
MEETINGS OF LODGES AND CHAPTERS,more ter Alex. L. Spear R. W. Grand Warden Richard Marley R. W. Grand Treasurer
INDEPENDENT ORDER OF RED MEN,
UNITED ANCIENT ORDER OF DRUIDS,
UNITED AMERICAN MECHANICS,"perance Temple, Gay street"
IMPROVED ORDER OF RED MEN,"G. C. OF U.S of the Cold and Buck Moon Paca street and Bond Paca street Montgomery Paca street Paca street S. E. corner Pratt and Bond Men's Hall, Paca street"
SONS OF TEMPERANCE,"tor; Wm. McCoy, G. Sentinel sions corner Baltimore and Paca ner of Light and Montgomery meeting"
CADETS OF TEMPERANCE,"Wm. Moxlby, G. T"
BALTIMORE GYMNASIUM,
ST. ANDREW'S SOCIETY,
MANAGERS,
GERMAN SOCIETY OF MARYLAND,
ST. GEORGE'S SOCIETY,"Secretary, . . Jas. Beldin Relief Committee Holmes, Jos. Smith, Ed. Hampson"
GERMANIA CLUB,
CONCORDIA CLUB,"M. S. Hess, President S. Brown, Secretary M. Hecht, Treasurer"
MARYLAND CLUB,N. E. corner Franklin and CathedraL
UNION CLUB,
CHILDREN'S AID SOCIETY,"Wm. B. Canfield, President John Curlett, Vice-President Jesse Tyson, Treasurer"
W'. C,"Palmer, Agent years of age annual report object and purposes of this Society"
BALTIMORE TYPOGRAPHICAL UNION,"Over N. E. corner Gay and Baltimore Edward T. Sheil, President J. F. Chesney, Vice-President James Stites, Treasurer James C. .Mills, Financial Secretary CoLL'MHL'S Huzza, Recording Secretary streets"
HOME FOR DISABLED SOLDIERS OF,
MARYLAND,"Wm. Stahl, Superintendent"
SCHUETZEN PARK ASSOCIATION,
BALTIMORE ASSOCIATION FOR THE IM,
PROVEMENT OF THE CONDITION OF,
MISCELLANEOUS,
HOUSE OF REFUGE,
NEWS ROOMS,
PORTER,"&amp; DUDLEY, Proprietors"
ATHEN^UM,
GEO. B. COLE,President
MARYLAND INSTITUTE,
MACHINE,is the
INTERNAL REVENUE,
UNITED STATES ASSESSORS,P. M
"PAYMASTER'S OFFICE, U. S. N",Post Office
REGISTERS IN BANKRUPTCY,ington Prince George county
BOARD OF TRADE,President A. Schumacher
CORN AND FLOUR EXCHANGE,
EXECUTIVE COMMITTEE,Duvall
GAS LIGHT COMPANY OF BALTIMORE,
MARYLAND GAS WORKS,
HOME OF THE FRIENDLESS,
ST. PETERS (EPISCOPAL) ORPHAN ASY,
LUM,
AGED MEN'S HOME,
AGED WOMEN'S HOME,
BALTIMORE ORPHAN ASYLUM,
UNION ORPHAN ASYLUM,
BOYS' HOME ASSOCIATION OF,
BALTIMORE,
MARYLAND COLLEGE OF PHARMACY,
DISPENSARIES,
MARYLAND HOSPITAL FOR THE IN,
SANE,
GERMAN ORPHAN ASYLUM,
