street,extent
FAYETTE (E),going east from Jones Falls
FEDERAL,"going east and west from Jones Falls, n of Oliver"
FELL,going south from 127 Thames
FIFTH LA,from Johnson to Basin
FIP AL,"from Eden, N of Baltimore"
FISH MARKET SPACE,from Jones Falls
FLEET AL,"from Hammond al, W of Car oline"
FORNEY AL,"from Fayette, W of Fremont"
FORREST,"from Halfmoon al, E of East"
FORT A V,going east from Sharp S of Clem ent
FOSTER AL,from 1 W Biddle
FOUNDRY,"going west from N Front, N"
FOUNTAIN,going east from 192 S Wash ington
FOURTH,"goirrg south from Fifth, near Powder house"
FRANKLIN,going west from Jones Falls Holiday Davis Calvert Courtland
FRANKLIN LA,going south from 9 Water
FRANKLIN SQUARE,bounded by Lexing
FREDERICK ;N),going north from 50 w
FREDERICK (S),going south from 41 w Bal
FREDERICK AV,going s w from Gilmor
FREMONT (N),going north from 570 W Baltimore To Pennsylvania av
FREMONT (S),going south from Balti more
FRENCH,see Front (N)
FRENCH AL,from French la. to Wine al W of Light
FRENCH LA,from Charles N of Lom bard
FRIENDSHIP,"from Thompson, E of Bel"
FRIENDSHIP CT,from 37 N Eden
FRONT (N),going north from E Baltimore
FRENCH,now FRONT
FRONT (S),going south from 13 E Balti more
FULTON,"going north and south from w Bal timore, w of Mount"
FULTON AL,"going east from Howard, N of Richmond"
FURNACE AL,"from Arch, S of Lexing ton G"
GARDEN,going from 106 W Monument
"GARDEN, LITTLE","from Ross, W Howard"
GARRISON LA,from Frederick av. to Cal verton road
GATES,going south from 48 Hamburg
"GAY, (N)",going north from 68 Baltimore
"GAY, (S)",going south from 61 Baltimore
GEORGE,going west from 20 Pennsylvania avenue
GIBSON'S WHF,from 43 Fell
GILLINGHAM AL,"from Howard to Lom bard, N of Pratt"
"GILMOR, (N)",going north from 904 w Bal timore
"GILMOR, (S)",going south from Baltimore • W of Strieker
GIST,going north and south from Baltimore E of Choptank Ostend
GOLD,"from N Carey, N of Bloom"
GOLD'S LA,"from James, W of Light"
GOLD'S CT,"from Montgomery, W of Light"
GOOD AL,"from Charles, S of Hill"
GOODMAN A L,from Williamson al W of
GOODWIN,from Harford av
GOODWIN AL,"from Sharp, N of Fayette"
GOUGH,going south and east from 53
"GOUGH, LITTLE","from Granby, E of Ex eter"
GRACE'S CT,"from King, W of Howard"
GRANBY,"going east from Jones Falls, N of Pratt"
GRANT,going south from 169 W Baltimore
GRANVILLE AL,from Northern av. to
GRAVEL AL,now Hargrove al
GRAVES,from 54 E Monument
"GREENE, LITTLE",
GREENE,(1*) going north from 420 W Bal timore
"GREENE, (S)",going south from 425 W Bal timore
GREEN'S CT,from E of •
GREEN WILLOW,from Chatswonh to Pennsylvania av N of Biddle
GREENWOOD,from Harford av near Bal timore Cemetery
GRIEVES' WHF,foot of Broadway
GRIN DAL L E,"of William, S of Mont gomery"
GRINNAN'S CT,"from Montgomery, W of Light"
GROCER'S AL,"from Robert, N E of Fre mont"
GRUNDY,from 21 W Biddle
GUNPOWDER,"from James, S of Bush"
GUILFORD,from 52 South to Franklin la
GUILFORD AL,from 202 Light
GWYNN,"from Boston to Essex, Canton"
GWYNN'S LA,"from Lanvale H H AL from Eden, N of Jefferson"
HAGAN'S CT,from 3 Bank
HAGAR'S CT,from Stirling N of Monument
HALFMOON AL,"from Chesnut, N of Fay ette"
HALL AL,"from West, near Henry"
HAMBURG,"going west from basin, S of Henrietta"
HAMILTON,going west from Hargrove al N of Franklin
HAMILTON TERRACE N,Eutaw betw Madison and Biddle
HAMMOND AL,"from Eden to Caroline, N of Canton av"
HAMPSTE AD,"going east from N Bond, N of Baltimore"
"HAMPSTEAD, LITTLE",going east from N Central av. N of Baltimore
HANOVER,going south from 263 W Balti more
HAPPY AL,now Durham
HARD EN'S CT,frm Henrietta E of Charles
HARE,"from Lancaster, E of Potomac"
HARFORD A V,going from Forrest and Greenmount av
HARGROVE AL,(formerly Gravel al)
HARMONY LA,going west from 108 Fre
HARPER,"going soutl^ from Marriott, E of Stuart"
HARRIS' AL,from Hudson to Elliott
HARRIS CREEK,"going north from North west Branch, Canton"
HARRISON,going north from 20 W Balti more
HARRISON,(Canton) from Canton av E of Chester
HART WAY'S AL,"from Baltimore to Ger man, E of Sharp"
HASSELBERGER'S CT,"from West, near James"
HAU BERT,"going south from Cox, E of De catur"
HAW,"from Fremont to Emory, N of Co lumbia"
HAWK,"from Jones Falls to Centre Market space, N of Lombard"
HEATH,"agoing east from Sharp, S of Ran dall"
HENDERSON'S WHF,from 55 Fell
HENRIETTA,"going west from Light, S of Montgomery"
HENRY,"going south from water line, E of Johnson"
HERRING'S CT,"from Pratt, E of Bond"
HIGH (N),going north from 42 E Baltimore
HIGH (S),going south from 43 E Baltimore
HIGH AL,from Aisquith N of Fayette
HILL,going west from 281 Light
HILLEN,"going east from Jones Falls, W ot Gay"
HOFFMAN (W),goia N E from Chats
HOFFMAN (E),going east from Jones Falls N of John
HOLBROOK AL,from Northern av W of Aisquith
HOLIDAY,going north from 100 Baltimore
HOLLAND AL,from 168 E Fager
HOLLAND,going east from 21 Aisquith
HOLLINS,going west from Fremont
HOLLINS AL,from 608 w Pratt
HOLLINGSWORTH,"going south from Water, W of Calvert"
HOMESTEAD VILLAGE,Harford av. N of Northern av
HOMESPUN AL,from Fremont S of Con way
HOPR AL,from Warren to Hamburg
HOWARD (N),going north from 226 W Baltimore Cathedral
HOWELL'S WHARF,"Thames, between"
HUBBARD AL,"from Eager, E of Green mount avenue"
HUDSON,going east from cor. Boston and Burke
HUDSON AL,from Northern av. E of Ca thedral
HUGH,"from Locust, W of Union dock"
HUGHES,"going west from Basin, N of Montgomery"
"HUGHES, LITTLE","going west from Jack son, S of Montgomery"
HUGHES' QUAY,intersection of Light-st
HULL,"going south from Cox, E of Haubert"
HULL'S LA,"from Aisquith to Forrest, N of Douglass"
HUMES,"from High to Exeter, near Hillen"
HUNTER AL,"from John, W of North"
HYDE'S CT,"from Hughes, W of Light"
INLOES AL,"from Park, N of Mulberry"
IVANHOE CT,"from Castle al, S of Eastern avenue"
IVY AL,"from Park, S of Mulberry"
"JACKSON, F. H","going south from water line, E of Covington"
JACKSON,"going east from Aisquith, N of Fayette"
JACKSON'S CT,"from Rock, N of Lexing ton"
JACKSON SQUARE E,"of Broadway, betw Fayette and Baltimore"
JACKSON'S WHF,"foot of Bond, W side"
JAMES,"going south from Cross, W of Washington av"
JAMES LA,"from Hamburg, E of Charles"
JASPER,from 183 Lexington
JEFFERSON,"going east from Aisquith, S of McElderry"
JEFFERSON PLACE,Charles-street ex tended
JENKINS AL,from 171 Preston
JENKINS LA,from Greenmount av. N of the Cemetery
JENKINS' WHF,south side of Philpot
JEW AL,from 188 Lexington
JEW AL,from 124 E Monument
"JOHN, (E)",going east from Jones Falls north of Biddle
"JOHN, (W)",going west from Jones Falls south of Belvidere Bridge
JOHNSON,going south from 108 Hughes
JONES,"going south from Cox, E of Reese"
JORDAN A L,from 101 W Biddle
JOSEPHINE,going west from 69 Arch K
KENT,"from James, S of Manokin"
KERR'S WHF,from 47 Thames
KIMMELL A L,from 151 Lexington
KING,(formerly Carpenter's al) agoing west
KNOX AL,"from Lexington, W of Fremont L L. AL from Frederick, S of Lombard"
LANCASTER,going east from East Falls av S of Aliceanna
LAN VALE,going east and west from Jones Falls
LANVALE LA,from Greenmount to 1st toll gate. Falls road
LAURENS,"from. Walsh, N of Wilson"
LAWRENCE,"going south from Clement, E of Boyle"
LEADENHALL,"from 262 Montgomery LEAKIN-^from Boston to Essex, Canton"
LEE,going west from 190 Light-st. whf
LEE-ST. WHF,from Light to Johnson
LEFFERMAN AL,from 44 French to Jones Falls
LEMMON,"from Schroeder to Popolcton, N of Pratt"
LEMMON AL,"from Fremont to Callendar al, N of Pratt"
LEREW'S AL,now Tyson street
LESTER'S CT,"from Wayne, W of Eutaw"
LEWIS,from 32 Holland
LEXINGTON,going west from 30 North
"LIBERTY, (N)",going north from 300 W Baltimore
"LIBERTY, (S)",going south from 301 W Baltimore
LIBERTY AL,"from 7 Buren, and N of Jail to Eager"
LIGHT AL,"from Light to Grant, south of Baltimore"
LIGHT,going south from 185K W Balti more
LIGHT-ST. WHF,going soufh from Pratt Right
LIGHT,going south from Lee Barney
LITTEL AL,"from Dover, W of Eutaw"
LLOYD,from 101 E Baltimore
LOCUST,from McElderry's whf to Union dock
"LOMBARD, (E)",going east from Jones Falls heft. Right
"LOMBARD, (W)",going wesi from Jones Falls
LORMAN,"from Fremont, N of Columbia"
LORMAN'S ALLEY,"from German, W of"
LOVEGROVE AL,"from Madison, E of"
LOVELY LA,"from South to Calvert, S of"
LOW,from Jones Falls E of Gay
LOWMAN,"going south from Cox, E of"
LOYOLA PLACE E,"side of Calvert, N of"
LUDLOW,"going south from Beason, E of"
LUMBER AL,"from Bowly's, S of Pratt"
LUZERNE,going north and South from Bal
MADISON (E),going east from Jones Falls
MADISON (W),going west from Jones Falls
MADISON AV,or W Madison continued
MADISON SQUARE,bounded by Chase
MADISON AL,"from Gay, E of Aisquith"
MADISON,"from Madison, W of Eden"
MAIDEN LANE,"from East to Aisquith, N of Baltimore"
MANOKIN,"from James, S of Putnam"
MARION CT,from Marion W of Park
MARRIOTT,"from Allen, S of Nicholson"
MARSHALL,going south from Fort av W of Byrd
MARTIN,"going south from Beason, E of Benjamin"
MASON AL,"from 56 Camel al., betw. Gar den and Bolton"
MATTHEWS,"from Calvert, S of Lombard"
MAY,"from 43 N Central av, N of Fayette more McCLURE'S DOCK between Commerce and South"
MECHANICS' CT,"from High, between Gay and Hillen"
MERCER,"from Calvert to Light, S of Balti more"
MILLIMAN,"from Caroline to Broadway, N of Monument"
MILL,"going south from Pratt, E of McEl derry's wharf"
MILLER,"from Bond, N of Madison"
MITCHELL'S CT,"from Pine,S of Saratoga"
MOHLER'S WHF,23 Fell
MONMONIER'S CT,"from Castle al, S of Eastern av"
MONROE,going north and south from Bal
MONTGOMERY,"going west from basin, S of Hughes"
"MONTGOMERY, LITTLE",going west
MONTGOMERY PCT,from Montgomery
MONTMORENCY AL,from Chatsworth
MONUMENT (E),going east from Jones
MONUMENT (W),going west from Jones Falls
"MONUMENT, LITTLE",from 174 N Eutaw
MONUMENT SQUARE,"Calvert, between"
MOORE AL,"from Tessier, S of Biddle"
MORRIS AL,from 133 W Biddle
MORTON AL,from 88 W Madison
MOSHER,"going S W from Cathedral, N of Townsend"
MOTT,from 242 N Gay
MOUNT,going north and south from W Bal
MOUNT ROYAL,from McMechin to Cathe dral extended
MOUNT VERNON PLACE,from St. Paul To Calverton road
MULBERRY CT,"from Knox al.,N of inejton"
MULBERRY AL,"from Fremont, N of ington"
MULLIKIN,going east from 41 Aisquith
MYER'S CT,"from Conway, W of Charles"
NANTICOKE,going south from Cross of Sassafras
NAPOLEON AL,from Eutaw to Paca Baltimore
NEALE,"going south from Marriott, East Harper"
NECESSITY AL,from High N of Fayette
NEIGHBOR,from McKim to Harford N of Madison
NEW,going west from 142 N Eutaw
NEW CHURCH,"from Crooked lane Sharp, S of Lexington"
NICHOLSON,"from Porter, S of Cox"
NICHOLSON LITTLE,from Aisquith Jackson
NORTH,going north from 118 w Baltimore
NORTHERN AV,Northern Boundary
NORTHWEST,from N Calhoun N of bury
O'DONNELL'S WHF,from 35 Pratt
OGSDEN,from Mulberry W of Chatsworth
OHIO A V,from Conway W of Howard
OLIVER,"going W from Greenmount av,N Hoffman"
ORANGE AL,going West from 32 N
ORBIT AL,from 9 Neighbour
ORCHARD,going west from 179 son av
OREGON (N),from 515 Lexington
OREGON (S),from 739 W Baltimore
ORLEANS,from Forrest N of Douglass
OSTEND,"going west from William, S of West"
PACA (N),going north from w Baltimore
PACA AL,going west from 42 n Paca
"PACA, LITTLE","from 71 S Paca, S of Cam den"
PACA PL,"from Paca, north of Franklin"
PARK,going north from 12 N Liberty
PARKIN,from 57 Hollins
PATAPSCO,"going south from Hamburg, E of Charles"
PATAPSCO AL,from Henrietta E of Charles
PATAPSCO A V,"from Hill, W of Sharp"
PATAPSCO (F. P.),going north and south from E Baltimore E of Luzerne
PATTERSON'S LA,"from Jenkins' lane, N of Greenmount"
PATTERSON'S WHF,east of drawbridge
PATTERSON'S WHF,betw Patterson and Commerce
PATUXENT,"going north and south from E Baltimore, E of Patapsco PA YSON going north and south from W Baltimore, W of Monroe"
PEACH AL,"from Montgomery, E of Sharp"
PEAR AL,from U Union
PEARL,going north -from 440 W Baltimore
PEIRCE,going west from 164 Pearl
PENN,from 163 German
PENN AL,going west from 57 Arch
PENNSYLVANIA AV,going N W from
PERRY,going west from 110 S Charles
PETTICOAT AL,"from Ensor,S of Madison"
PHILPOT,"from basin to Thames, S of Block"
PHILPOT AL,from 16 Gough
PIN AL,"from Arch, N of Lexington"
"PINE, (N)",going north from 510 W Balti more
"PINE, (S)",from 505&quot;W Baltimore
PLEASANT,going west from Jones Falls Davis Calvert
PLEASANT AL,from 165 S Chapel
"PLEASANT, LITTLE","from N Charles to Park, N of Saratoga"
PLOVER AL,"from Centre, E of Park"
PLOWMAN,"from Jones Falls to High, S of Baltimore"
PLUM,from 284 Montgomery
POINT LA,from Broadway to Harford av
POINT,from 1 Thames
POPPLETON (N),going north from 678 W Baltimore
POPPLETON (S),going south from 657 W Baltimore
PORTER,"going south from Nicholson, E of Stevenson"
PORTLAND,going west from intersection of Greene and Columbia
POTOMAC,going north and south from E
POULTNEY,"going west from Light, S of Hamburg"
"PRATT, (E)",going east from Jones Falls
"PRATT, (W)",going west from Jones
PRATT-ST. WHF,from Light-st to ly's whf
PRATT'S WHF,"(iron) Boston, Canton"
PRESBURY,"from N Calhoun, N of"
PRESIDENT,going south from 17 E
PRESIDENT AL,"from President, S of ern av"
PRESSTMAN W,"from Garden, N of"
PRESTON,going E from Pennsylvania Left. Itiglit Cathedral
PROCTOR AL,"from Chase, E of Green mount av"
PROSSER,"going S from Marriott, E of Neale"
PUBLIC WHF,"foot of Wills, S of City Falls Dock"
PULASKI,going north and_ south from W
PUTNAM,"from James, S of Clare"
QUAY AL,"from basin to Light, S of Lee"
RABORG,going west from 4 N Greene
RACE,"from S Charles, W of Hanover"
RAMSAY'S WHF,from 17 Thames
RAMSAY,from intersection of Columbia and
RANDALL,"going east from Sharp, S of Fort"
READ,"going west from Jones Falls, N of Madison"
REESE,"going south from Nicholson, E of Porter"
REESE'S AL,"from Lee, W of Sharp"
REGESTER (N),going north froni 314 E
REGESTER (S),going south from 321 E Baltimore Left. Right. isht
REPUBLICAN (N),roing north from 806 Bow- W Baltimore
REPUBLICAN (S),going south from 783 W Baltimore
RICKETT'S AL,"from Montgomery, W of Robert Light"
ROBERT,"from Pennsylvania av, N of Lau rens"
ROCK,from 337 Lexington
ROSE LANE,Cathedral extended
ROSK,from Madison av between Preston and Eutaw
ROSS,going n w from 179 N Howard
RUSSELL,from 218 S Fremont
RUSSELL'S CT,from 78 Harford av
RUSSELL LA,"from N Central av, N Orleans"
RUTTER AL,"from McMechin, W of Ca thedral"
RYAN,(formerly Brunswick) from Parkin
SADTLER AL,"from Warren, E of Henry"
SALISBURY AL,from Exeter to Lloyd of Lombard
SARAH ANN,going west from 136 Pearl
SARATOGA,going west from 78 N Gay
SARATOGA CT,"from Arch, S of Saratoga"
SASSAFRAS,"going south from Cross, W Wicomico"
SCHROEDER (N),from 722 W Baltimore
SCHROEDER (S),from 705 W Baltimore
SCOTT,from 355 W Lombard
"SECOND, (E)","going east from Jones Falls, N of Lombard"
"SECOND, (W)","going west from Centre Market space, S of Baltimore near Powder house"
SECOND LA,"from Fifth lane, near Powder house"
SEVENTH,"going south from Water, near Powder house"
SEVERN,"going south from Cross, W of S Paca"
SHAKSPEAR,from Bond to Broadway N of Thames
"SHARP, (N)",from 292 W Baltimore
"SHARP, (S)",going south from 289 W Balti more
SHIRK'S AL,"from Jones Falls, N of North ern av"
SHORT,from 52 Orleans
SHORT AL,"from Short, E of Aisquith"
SIXTH,"from Fourth, near Powder house"
SLEMMER'S AL,"from Granby, E of Pres ident"
SLEMMER'S AL,"from N Spring, N of Monument"
SMALL WOOD,going north and south from N of Mosher
SMITH'S AL,from Gay to Frederick Lombard
SMITH'S CT,from N Eutaw N of Lexing ton
SMITH'S WHF,from S E cor of &quot;W Pratt
SMITH'S AL,"from Eden, N of Chew"
SMITH'S LA,"from Smith's whf to Buchan an's whf, S of Pratt"
SOMERSET,from 208 e Madison
SOUTH,going south from 119 W Baltimore
SPEAR'S WHF,from 43 w Pratt
SPRING CT,from S Charles. N of Camden
SPRING GARDEN AV,from York Sharp
SPRING GARDEN WHF,foot of Eutaw
SPRING (N.),going north from 186 E more Fayette Mullikin
SPRING (S.),going south from 199 E more
SPRUCE AL,from S Washington Gough
SPURRIER'S CT S,side of Lexington of St. Paul
STAG AL,"from Lexington, W of Eutaw"
STABLE AL,"from Lombard, W of"
STATE,going N from 133 Saratoga
STATE-ST CT,"From State, N of Saratoga"
STERRETT,going south from McHenry W of Fremont
STEVENSON,going south from Reason of Marriott
STILES,going east from 24 East Falls
STOCKHOLM,going west from Leadenhall
STOCKTON AL,from Lexington W of Re
"STRICKER, (N)",going north from 866 W
"STRICKER, (S)",going south from Baltimore
STRANGE AL,"from Charles, N of Balti"
STUART,"going S from Nicholson, E of"
STUMP AL,"from Barre, W of Charles"
ST. JAMES,from Central av. N of Madison
ST. MARY,going W from 163 Madison av
