old,new,relation,raw
JACKSON,ABBOTSTON,was,Abbotston St: was Jackson St
ABEY,COMPTON,now,Abey Alley: now Compton St
ACCOMODATION,AETNA OR,see,Accomodation Alley: see Aetna Alley or Lane
AETNA OR,ACCOMODATION,see,Accomodation Alley: see Aetna Alley or Lane
ADAMS,TRENTON,now,Adams Alley: now Trenton St
ADAMS,HARLEM,now,Adams St: now Harlem Ave
KENNEDY,ADAMS,was,Adams St: was Kennedy Lane
ADDISON,PLAT OF FRIENDSBURY OF FRIENDSBURY,see,"Addison Alley: see plat of ""Friendsbury"" of Friendsbury Place"
PLAT OF FRIENDSBURY OF FRIENDSBURY,ADDISON,see,"Addison Alley: see plat of ""Friendsbury"" of Friendsbury Place"
ADDISON,HOOD,now,Addison Alley: now Hood St
KIRBY,ADDISON,was,Addison Alley: was Kirby Lane
JASPER OR,AGATE,was,Agate Court: was Jasper Alley or Court
STEVENSON,AGATE,was,Agate Court: was Stevenson Court
AISQUITH,SAPP,now,Aisquith Court: now Sapp St
PART OF TYSON OR,ALBION,was,Albion Alley: was part of Tyson Alley or Court
ALEXANDER,HOLLINGSWORTH,now,Alexander Alley: now Hollingsworth St
MAY,ALEXANDER,was,Alexander Ave: was May Ave
ALICE ANN,FOSTER,now,Alice Ann St: now Foster Ave
ALICE ANN,MONTFORD,now,Alice Ann St: now Montford Ave
ALISANNA,ALICE ANN,see,Alisanna St: see Alice Ann St
ALICE ANN,ALISANNA,see,Alisanna St: see Alice Ann St
CUMBERLAND,ALLEGANY,was,Allegany Place: was Cumberland Place
ALLEN,CLASSEN,now,Allen Ave: now Classen Ave
ALLEN,WOODHALL,now,Allen St: now Woodhall St
ALLENDALE,CALLOWAY,became part of,Allendale Ave: became part of Calloway Ave
PACA,ALPACA,was,Alpaca Court: was Paca Court
ELK,ALTO,was,Alto Ave: was Elk Ave
ELM,ALTO,was,Alto Ave: was Elm Ave
PART OF SOUTH,AMERICAN,was,American Place: was part of South St
AMITY,KEERLE,now,Amity Court: now Keerle St
KEERLE,AMITY,was,Amity St: was Keerle Lane n.d. Atl 3
ANCHOR,ANDRE,now,Anchor St: now Andre St
ANDERSON,MCDONALD ANDRE,see,Anderson Court: see McDonald Court Andre St: n.d. M5379
MCDONALD ANDRE,ANDERSON,see,Anderson Court: see McDonald Court Andre St: n.d. M5379
ANDREW,HEAVER,now,Andrew Ave: now Heaver St
ANGLE,LAMONT,now,Angle Alley: now Lamont St
POINT,ANGLE,was,Angle Alley: was Point Lane
HOPKINS,ANN,was,Ann St: was Hopkins Ave
ANN,RUTLAND,became,Ann St: became Rutland Ave
ANN,LAMLEY,now,Ann St Court: now Lamley St
ANNE,LAVNINA,now,Anne Rd: now Lavnina Rd
ORPHAN,ANTHONY,was,Anthony St: was Orphan St
APPLE,BETHEL,now,Apple Alley: now Bethel St
TALBOTT S OR,APPLE,was,Apple Court: was Talbott’s Court or Place
WARREN,APPLE,was,Apple Court: was Warren Court
APPOLD,20TH,became part of,Appold St: became part of 20th St
WALKER,APRICOT,was,Apricot Court: was Walker Court
LITTLE PARKIN,ARCHER,was,Archer St: was Little Parkin
WALKER,ARCHER,was,Archer St: was Walker St
WALSH,ARGYLE,was,Argyle Ave: was Walsh St
OREGON,ARLINGTON,was,Arlington Ave: was Oregon St
ARLINGTON,LANVALE,became,Arlington Place: became W. Lanvale St
ARMISTEAD,HILL,became part of,Armistead Lane: became part of Hill St
5TH,ARMORY,was,Armory Place: was 5th Ave
BRADLEY,ASBURY,was,Asbury Court: was Bradley Court
CHESTNUT,ASBURY,was,Asbury Court: was Chestnut Alley Court
ASBURY,CAREY,now,Asbury St: now Carey St
DRUID,ASH,was,Ash St: was Druid Ave
ASH,OAK,became,Ash Ave: became Oak St
JORDAN,ASHBURTON,was,Ashburton St: was Jordan St
STAFFORD,ASHBURTON,was,Ashburton St: was Stafford Lane
5TH,ASHBURTON,was,Ashburton St: was 5th St
10TH,ASHBURTON,was,Ashburton St: was 10th St
CHEW,ASHLAND,was,"Ashland Ave: was ""Chew"""
NEIGHBOR,ASHLAND,was,"Ashland Ave: was ""Neighbor"""
RAMSY,ASHTON,was,Ashton St: was Ramsy St
EDEN,ASKEW,was,Askew Alley: was Eden Court
FRIENDSHIP,ASKEW,was,Askew Alley: was Friendship Court
ASKEW,AISQUITH,see,Askew St: see Aisquith St
AISQUITH,ASKEW,see,Askew St: see Aisquith St
ATKINSON TERR,ATKINSON,was,Atkinson St: was Atkinson Terr
ATLANTIC,MOYER,became,Atlantic Court: became Moyer St
AUGUSTA,CLIFTON,now,Augusta Ave: now Clifton Ave
IRVINGTON,AUGUST,was,August Ave: was Irvington Ave
MOUNT,AULL,was,Aull St: was Mount St
ECCLESTON,AVALON,was,Avalon Ave: was Eccleston St
AVONDALE,RIGG,became part of,Avondale Ave: became part of Rigg Ave
BACK,HOLLIDAY,now,Back St: now Holliday St
BACK,WILLIAM,now,Back St: now William St
FRONT,BALDERSON,was,Balderson St: was Front St
RUXTON,BALDERSON,was,Balderson St: was Ruxton Lane
NEW,BALDERSTON,was,Balderston St: was New St
NEW FROM LIGHT TO PUBLIC,BALDERSON,was,"Balderson St: was New St from Light St to Public Lane (now Grant St) n.d. Atl 1,1 ½&6"
BALTIMORE,VERMONT,became,Baltimore Ave: became Vermont Ave
DULANY,BALTIMOE,was,Baltimoe St: was Dulany St
FREDERICK,BALTIMORE,was,Baltimore St: was Frederick Pike
LONG,BALTIMORE,was,Baltimore St: was Long St
MARKET,BALTIMORE,was,Baltimore St: was Market St
MCELDERRY,BANK,was,Bank Lane: was McElderry St
BARCLAY,REARDON,became part of,Barclay Ave: became part of Reardon St
BARCLAY,PRINCETON,became,Barclay Place: became Princeton Place
BARLOW,CLEAVELAND,see,Barlow Alley: see Cleaveland St
CLEAVELAND,BARLOW,see,Barlow Alley: see Cleaveland St
BARN,FLORENCE,see,Barn Alley: see Florence St
FLORENCE,BARN,see,Barn Alley: see Florence St
BARNET,CLAY,now,Barnet St: now Clay St
BARNETS,CLAY,now,Barnets St: now Clay St
BARNUM,28TH,became,Barnum Ave: became 28th St
STERRET,BARRE,was,"Barre St: was ""Sterret"" St"
BARRICKMANS,BANNOCKS,see,Barrickmans La: See Bannocks Lane
BANNOCKS,BARRICKMANS,see,Barrickmans La: See Bannocks Lane
BARTLETT,BARCLAY,see,Bartlett Ave: See Barclay St
BARCLAY,BARTLETT,see,Bartlett Ave: See Barclay St
BARTLETT,REARDON,became part of,Bartlett Ave: became part of Reardon St
BARTLETT,HAYWARD,became,Bartlett St: became Hayward St
RIDGLEY,BARTLETT,was,"Bartlett St: was ""Ridgley"" St"
BATH,CARDS FOR NEW ORLEANS,see,Bath St: See cards for New Orleans St
CARDS FOR NEW ORLEANS,BATH,see,Bath St: See cards for New Orleans St
BATH,NEW ORLEANS VIADUCT,see,Bath St: See New Orleans Viaduct
NEW ORLEANS VIADUCT,BATH,see,Bath St: See New Orleans Viaduct
BATH,FOUNDARY,now,Bath St: now Foundary St
JOHNSON,BATTERY,was,Battery Ave: was Johnson St
LINCOLN,BATTERY,was,Battery Ave: was Lincoln
WASHINGTON,BATTERY,was,Battery Ave: was Washington
BATTERY,RIVERSIDE PARK,now,Battery Square: now Riverside Park
BAXTER,GROVE,became part of,Baxter St: became part of Grove St
SNYDER S,BEALE,was,Beale Court: was Snyder’s Court
BEAUTY,PERRY,now,Beauty Alley: now Perry St
BEECH,DUNLIN,became,Beech Ave: became Dunlin St
BEECH,ECCLESTON,became,Beech Ave: became Eccleston St
BEECH,MORRIS,now,Beech Ave: now Morris Ave
BELAIR,GAY,became part of,Belair Ave: became part of Gay St
BELLE AIR,GAY,became part of,Belle Air Ave: became part of Gay St
PALATKA,BELLE,was,Belle Ave: was Palatka Ave
BELMONT,CRYSTAL,see,Belmont Ave: see Crystal Ave
CRYSTAL,BELMONT,see,Belmont Ave: see Crystal Ave
BELMONT,BUCHANAN,now,Belmont Ave: now Buchanan St
COVE,BELNORD,was,Belnord Ave: was Cove St
GROVE,BELNORD,was,Belnord Ave: was Grove St
BELT,GILL,now,Belt Ave: now Gill St
BELT,SKINNER,became,Belt St: became Skinner St
BELT,WORSLEY,became,Belt St: became Worsley St
BELVIDERE,CALVERT,became,Belvidere Terrace: became Calvert St
BRADLEY,BENNETT,was,Bennett Place: was Bradley St
BENNETT,BINNEY,became,Bennett St: became Binney St
BENSON,RUBIN,now,Benson Ave: now Rubin Ave
CARROLL,BENSON,was,Benson St: was Carroll St
BETHEL,APPLE,became part of,Bethel Alley: became part of Apple Court
BETHEL,CRAB,became part of,Bethel Court: became part of Crab Court
BEUREN,BUREN,see,Beuren St: see Buren St
BUREN,BEUREN,see,Beuren St: see Buren St
BEVERLEN,BEVERLY,see,Beverlen St: see Beverly St
BEVERLY,BEVERLEN,see,Beverlen St: see Beverly St
BEVERLIN,BEVERLY,became part of,Beverlin St: became part of Beverly St
BEVERLLLY,BEVERLIN,see,Beverllly St: see Beverlin St
BEVERLIN,BEVERLLLY,see,Beverllly St: see Beverlin St
BEVERLY,GITTINGS,became,Beverly St: became Gittings St
BEY,BAY,became part of,Bey St: became part of Bay St
BIDDLE,BARNABAS,became,Biddle Court: became Barnabas Court
BILLINGSGATE,LOW,now,Billingsgate St: now Low St
GREEN,BLANCHARD,was,Blanchard Lane: was Green Lane
QUEEN,BLOCK,was,Block St: was Queen St
BLOOD,LAMLEY,became,Blood Alley: became Lamley St
BLOOM,BRUNT,see,Bloom Court: see Brunt St
BRUNT,BLOOM,see,Bloom Court: see Brunt St
BLOOM,MISSION,became,Bloom Court: became Mission Court
BLUCHER,WELLINGTON,became,Blucher Ave: became Wellington St
KATE,BOARMAN,was,Boarman Ave: was Kate Ave
JOPPA,BODEN,was,Boden Court: was Joppa Court
BOHEMIA,LINCOLN,became,Bohemia Court: became Lincoln Court
BOKEE,ELLSWORTH,became,Bokee St: became Ellsworth St
BOLTON,BRUNT,became,Bolton Alley: became Brunt St
BOLTON,BROOKFIELD,became part of,Bolton Ave: became part of Brookfield Ave
BOLTON,PRESTON,became,Bolton Terrace: became Preston St
BOND,COSTELLA S,became,Bond St Court: became Costella’s Court
BOND,WIESNEFIELDS,became,Bond St Court: became Wiesnefields Court
CALHOUN,BORN,was,Born Alley: was Calhoun Court
LEHMANS,BORN,was,Born Alley: was Lehmans St
LEHRMAN OR,BORN,was,Born Alley: was Lehrman Alley or Place
BORN,RANKLINE,became,Born Alley: became Rankline St
BUTLER,BOTTLE,was,Bottle Alley: was Butler Court
BOTTLE,DOVER,now,Bottle Alley: now Dover St
BOULDEN,BRUNT,now,Boulden Alley: now Brunt St
BOULDIN,BRUNT,became part of,Bouldin Alley: became part of Brunt St
BOUNDARY,PORT,see,Boundary Ave: see Port Ave
PORT,BOUNDARY,see,Boundary Ave: see Port Ave
BOUNDARY,42ND,became,Boundary Ave: became 42nd St
CAROLINE,BOUNTY,was,Bounty Lane: was Caroline St
BOWEN,SARGEANT,became,Bowen St: became Sargeant St
BOWER,HARE,became,Bower St: became Hare St
BOWHAM,SARGENT,became part of,Bowham St: became part of Sargent St
FRANKLIN,BOWLY,was,Bowly St: was Franklin Lane 1848 Atl 1
BOX,SUTTON,became part of,Box Alley: became part of Sutton St
BOYD,BOOTH,now,Boyd Alley: now Booth St
KING,BOYD,was,Boyd St: was King St
BRADLEY,ASHBURY,became,Bradley Court: became Ashbury Court
LAKE,BRADY,was,Brady Ave: was Lake Ave
BRADY,27TH,became,Brady Ave: became 27th St
BRADY,28TH,became,Brady Ave: became 28th St
BRANDY,PERRY,now,Brandy Alley: now Perry St
HENRIETTA,BRANT,was,Brant St: was Henrietta St
HOPKINS,BRANTLY,was,Brantly St: was Hopkins Ave
CONSTITUTION,BRENTWOOD,was,Brentwood Ave: was Constitution St
BREWER,BRIGHTON,now,Brewer Alley: now Brighton
PART OF TYSON,BREXTON,was,Brexton Alley: was part of Tyson Court
BRICE,HARMISON,became part of,Brice St: became part of Harmison St
BRICE,PRICE,became part of,Brice St: became part of Price St
BRICK HILL,DARBY,became,Brick Hill St: became Darby St
BRICK HILL,OAKINGTON,became,Brick Hill St: became Oakington St
BRICKKILN,BARRE,now,Brickkiln St: now Barre
BRIDGE,ENSOR,see,Bridge St: see Ensor St
ENSOR,BRIDGE,see,Bridge St: see Ensor St
BRIDGE,GAY,see,Bridge St: see Gay St
GAY,BRIDGE,see,Bridge St: see Gay St
SHORT OR,BRIEF,was,Brief Court: was Short St or Court
BRITAIN,HARFORD,see,Britain St: see Harford Ave
HARFORD,BRITAIN,see,Britain St: see Harford Ave
BRITTON,HARFORD,see,Britton St: see Harford Ave
HARFORD,BRITTON,see,Britton St: see Harford Ave
BROADWAY,LEEDS,became part of,Broadway: became part of Leeds St
MARKET,BROADWAY,was,Broadway: was Market St
POINT,BROADWAY,was,Broadway: was Point Rd
BROADWAY,WORTH,now,Broadway: now Worth St
BROADWAY,CONGRESS,became,Broadway Court: became Congress Court
BROADWAY LITTLE,NARROWAY,became,"Broadway, Little: became Narroway Court"
BRONT,BRUNT,became part of,Bront St: became part of Brunt St
BROOKS,TRACTION,became,Brooks Court: became Traction Ave
BROOKS,27TH,now,Brooks St: now 27th St
KAUFMAN,BROUMEL,was,Broumel St: was Kaufman St
BROWN,MCPHAIL,became,Brown Lane: became McPhail St
BROWN,WILL,see,Brown Lane: see Will St
WILL,BROWN,see,Brown Lane: see Will St
BROWN,CLEVELAND,became,Brown St: became Cleveland
BROWN,WYLER,became,Brown St: became Wyler
3RD NOW 22ND,BROWN,was,Brown St: was 3rd now 22nd St
BROWN S,MCPHAIL,see,Brown’s Lane: see McPhail
MCPHAIL,BROWN S,see,Brown’s Lane: see McPhail
BRUNSWICK,RYAN,see,"Brunswick St: see ""Ryan St"""
RYAN,BRUNSWICK,see,"Brunswick St: see ""Ryan St"""
BRUNSWICK,LEMMON,see,"Brunswick St: see ""Lemmon St"""
LEMMON,BRUNSWICK,see,"Brunswick St: see ""Lemmon St"""
BRUNT,MISSION,became,Brunt Court: became Mission Court
BUCHANAN,BELMONT,see,"Buchanan St: see ""Belmont Ave"""
ROSE,BUD,was,Bud Court: was Rose Court
REGRAVE,BUDNITZ,was,Budnitz Court: was Regrave Court
BUREN,BARCLAY,became part of,Buren St: became part of Barclay St
BURKE,MONTFORD,now,Burke St: now Montford Ave
BURNS,CLIFFORD,became part of,Burns Alley: became part of Clifford St
BUSY,YORK,now,Busy Alley: now York St
GARRISON,BUTCHER,was,Butcher Lane: was Garrison Lane
BUTCHER,GARRISON,became,Butcher Lane: became Garrison Lane
BUTCHER S,WYOMING,now,Butcher’s Alley: now Wyoming
BUTCHER S,BUTCHER S ROW,see,Butcher’s Lane: see Butcher’s Row
BUTCHER S ROW,BUTCHER S,see,Butcher’s Lane: see Butcher’s Row
BUTCHER S,RETREAD,became,Butcher’s Lane: became Retread St
BUTCHER S ROW,RETREAD,became,Butcher’s Row: became Retread St
BUTLER S,BEVAN,became,Butler’s Alley: became Bevan St
LINDEN,CAIRNES,was,Cairnes Lane: was Linden Lane
CALHUN,CALHOUN,see,Calhun Alley: see Calhoun Court
CALHOUN,CALHUN,see,Calhun Alley: see Calhoun Court
CALLAWAY,ALLENDALE,became,Callaway Ave: became Allendale St
CALLANDAR,CALLENDAR,became,Callandar Alley: became Callendar St
CALVIN,COLVIN,see,Calvin Place: see Colvin Place
COLVIN,CALVIN,see,Calvin Place: see Colvin Place
CALVIN,MURA,became part of,Calvin Place: became part of Mura St
CAMDEN,ROSE,see,Camden Alley: see Rose St
ROSE,CAMDEN,see,Camden Alley: see Rose St
CAMEL,CAMLET,became,Camel Alley Court: became Camlet Court
CAMP,24TH,now,Camp St: now 24th St
ARCHER,CAMPBELL,was,Campbell St: was Archer
WALKER,CAMPBELL,was,Campbell St: was Walker
MADEIRA,CANARY,was,Canary Court: was Madeira Court
CANBY,LEXINGTON,became part of,Canby Place: became part of Lexington St
CANNON,MILTON,became,Cannon St: became Milton Ave
ROGERS,CANNON,was,Cannon St: was Rogers St
CANTON,FLEET,became,Canton Ave: became Fleet St
FLEET,CANTON,was,Canton Ave: was Fleet St
CANTON,ELLWOOD,became,Canton St: became Ellwood St
CARROLL,LEEDS,became part of,Carroll Ave: became part of Leeds St
CARROLL,MULLEN,became,Carroll Ave: became Mullen St
CARROLL,OLD PAINE,became,Carroll Ave: became Old Paine St
CARROLL,DOVER,now,Carroll Court: now Dover St
CARROLL,PACA,now,Carroll St: now Paca St
CARROLL,STRICKLAND,became,Carroll St: became Strickland St
REPUBLICAN,CARROLLTON,was,Carrollton Ave: was Republican St
CARROLLTON,STAFFORD,became part of,Carrollton St: became part of Stafford St
WILSON,CARSON,was,Carson Court: was Wilson Lane
LITTLE WILSON,CARSON,was,Carson Court: was Little Wilson St
WASHINGTON,CARSWELL,was,Carswell St: was Washington St
SHERMAN,CARTER,was,Carter St: was Sherman Place
COLVIN,CARWELL,was,Carwell Ave: was Colvin Ave
CASCARA,MONASTERY,became part of,Cascara St: became part of Monastery Ave
CASCARA,WESLEY,see,"Cascara St: see ""Wesley Ave"""
WESLEY,CASCARA,see,"Cascara St: see ""Wesley Ave"""
WESLEY,CASCARS,was,Cascars St: was Wesley St
CASTLE,BOHEMIA,became part of,Castle Court: became part of Bohemia Court
CASTLE,ROOK,became,Castle Court: became Rook Court
CASTLE,CHATHAM,now,Castle St: now Chatham St
CATHEDRAL,OLD FALLS,see,"Cathedral St: see ""Old Falls Rd"""
OLD FALLS,CATHEDRAL,see,"Cathedral St: see ""Old Falls Rd"""
CATHERINE,FOX,became part of,Catherine St: became part of Fox St
CAUSEWAY,WHEELER,became part of,Causeway St: became part of Wheeler St
CECIL,OHIO,now,Cecil Alley: now Ohio Ave
CECIL,STANFORD,became,Cecil Avenue: became Stanford Place
PART OF VALLEY,CECIL,was,Cecil Avenue: was part of Valley St
CEDAR,BARNABAS,became,Cedar Court: became Barnabas Court
CEDAR,FIR,became,Cedar Lane: became Fir Lane
CEDAR ROW,BARNABAS,became,Cedar Row: became Barnabas Court
CEMETERY,FAITH,became,Cemetery Ave: became Faith Lane
CANAL,CENTRAL,was,Central Ave: was Canal St
HARFORD,CENTRAL,was,Central Ave: was Harford St
CENTRAL,ROLAND,now,Central Ave: now Roland Ave
CENTRAL ANNEX,ROLAND,now,Central Ave Annex: now Roland Ave
CENTRE,LITTLE GREENE,now,Centre Lane: now Little Greene St
CENTRE MARKET,MARKET,became,Centre Market Place: became Market Place
CHAMBERLAIN,EUTAW,now,Chamberlain Alley: now Eutaw Court
CHAPLE,BOHEMIA,became,Chaple Alley: became Bohemia Court
LITTLE PLEASANT,CHAPLE,was,Chaple Ave: was Little Pleasant
PATERSON,CHAPLE,was,Chaple Ave: was Paterson Lane
CHAPLE,LAMLEY,became,Chaple Court: became Lamley St
CHAPLE,EVANS,became part of,Chaple Lane: became part of Evans Rd
CHAPPELL,SCHOOL,became,Chappell St: became School St
CHARLES,BARNETT PLAT,see,Charles St: see Barnett plat n.d. Atl 2
BARNETT PLAT,CHARLES,see,Charles St: see Barnett plat n.d. Atl 2
CHARLES,FREMONT,now part of,Charles St: now part of Fremont St
FREMONT,CHARLES,was,Charles St: was Fremont
GOODMAN,CHARLES,was,Charles St: was Goodman St
CHARLES,SMITH WILLIAMS PLATATL 2,see,Charles St: see Smith & Williams platAtl 2
SMITH WILLIAMS PLATATL 2,CHARLES,see,Charles St: see Smith & Williams platAtl 2
CHATHAM,FAYETTE,now,Chatham St: now Fayette St n.d. Atl 1 ½&6
CHATSWORTH,MYRTLE,now,Chatsworth St: now Myrtle Ave
CHEAPSIDE DOCK,CHEAPSIDE,was,Cheapside St: was Cheapside Dock
CHESAPEAKE,PIEDMONT,now,Chesapeake Ave: now Piedmont Ave
CHESAPEAKE,LEXINGTON,became part of,Chesapeake Place: became part of Lexington St
CHESAPEAKE,KENWOOD,now,Chesapeake St: now Kenwood Ave
CHESTER,DIETRICH,became,Chester Court: became Dietrich Court
COUNTY,CHESTER,was,Chester St: was County St
CHESTNUT,BRADLEY,now,Chestnut Alley: now Bradley St
CHESTNUT,DENVER,now,Chestnut Alley: now Denver St
CHESTNUT 2,BRADLEY,became,Chestnut Alley #2: became Bradley St
CHESTNUT,ASHBURY,became,Chestnut Alley Court: became Ashbury Court
CHESTNUT,ELGIN,now,Chestnut Ave: now Elgin Ave
CHESTNUT,COLVIN,now,Chestnut St: now Colvin St
POTTER,CHESTNUT,was,Chestnut St: was Potter St
CHESTNUT,SHARP,now part of,Chestnut St: now part of Sharp St
UNION FROM BRIDGE TO NORTH,CHESTNUT,was,"Chestnut St: was Union St from Bridge (now Gay) St to North (now Hillen) St n.d. Atl 1,4&6"
CHEW,NEIGHBOR,now,Chew St: now Neighbor
GRIFFIN,CHOPTANK,was,Choptank Court: was Griffin Court
CHOPTANK,COLLINGTON,now,Choptank St: now Collington Ave
CHURCH,RECTORY,became part of,Church Lane: became part of Rectory Lane
CHURCH,CHAPLE,see,Church St: see Chaple Lane
CHAPLE,CHURCH,see,Church St: see Chaple Lane
CHURCH,EVANS,became part of,Church St: became part of Evans Rd
SHUGAR OR SUGAR,CHURCH,was,Church St: was Shugar or Sugar St
CHURCH,SUMMERFIELD,became,Church St: became Summerfield St
CLAGGETT,NEALE,see,"Claggett St: see ""Neale St"""
NEALE,CLAGGETT,see,"Claggett St: see ""Neale St"""
CLAGGETT,WELLS,became part of,Claggett St: became part of Wells St
CLARE,MONROE,now,Clare St: now Monroe St
MONROE,CLARE,see,Clare St: see Monroe St
CLARET,BRADFORD,now,Claret Alley: now Bradford St
CLARET,BRISCOE,became,Claret Alley: became Briscoe St
CLARK,CRIER,became,Clark Court: became Crier Court
CLARK,EDMONDSON,now,Clark St: now Edmondson Ave
GROVER,CLARK,was,Clark St: was Grover St
STATE,CLAY,was,Clay St: was State St
CLEMENT,GITTINGS,became part of,Clement St: became part of Gittings St
WATER,CLEMENT,was,Clement St: was Water St
CLARK,CLERK,was,Clerk Court: was Clark Court
CLEVELAND,STEPHEN,became,Cleveland Ave: became Stephen Ave
PART OF OGSTON,CLIFTON,was,Clifton Ave: was part of Ogston St
CONSTITUTION,CLIFTON,was,Clifton Place: was Constitution St
CLINTON,OGSTON,became,Clinton Ave: became Ogston St
CLIPPER,MILLRACE,became,Clipper Ave: became Millrace Rd
CLIPPER ROW,CLIPP,see,Clipper Row: see Clipp Ave
CLIPP,CLIPPER ROW,see,Clipper Row: see Clipp Ave
CLOPPER SPRINGS,SPRINGS,see,Clopper Springs: see Springs
SPRINGS,CLOPPER SPRINGS,see,Clopper Springs: see Springs
COACH,2ND,now,Coach Alley: now 2nd
FORREST,COAKLEY,was,Coakley Ave: was Forrest St
COAKLEY,FOREST PARK,became,Coakley Ave: became Forest Park Ave
COKESBURY,24TH,became part of,Cokesbury Ave: became part of 24th St
COLLINS,ELBOW,became,Collins Court: became Elbow Court
COLLINS,ROCK,became,Collins Court: became Rock St
COLLINS,WEAVER,became,Collins St: became Weaver St
COLLINSON,WEBB,became,Collinson Court: became Webb St
ELKRIDGE,COLUMBIA,was,Columbia Ave: was Elkridge Rd
GEORGETOWN,COLUMBIA,was,Columbia Ave: was Georgetown Rd
WASHINGTON,COLUMBIA,was,Columbia Ave: was Washington Ave
COLUMBIA,FALLS,now,Columbia St: now East Falls n.d. Atl 2
COLUMBIA,GRANBY,now,Columbia St: now Granby St
COLVIN,MURA,became,Colvin Place: became Mura St
UNION,COLVIN,was,Colvin St: was Union St
MEYER,COMB,was,Comb Alley: was Meyer Court
COMMERCE,HOLLIDAY,now,Commerce Lane: now Holliday St
PART OF HOLLIDAY,COMMERCE,was,Commerce St: was part of Holliday St
COMMERCIAL,KEY,became,Commercial Highway: became Key Highway
ALSO WATERFRONT,COMMERCIAL,was,Commercial Highway: was also Waterfront St
CONAWAGO,CONNAWAGO,see,Conawago St: see Connawago St
CONNAWAGO,CONAWAGO,see,Conawago St: see Connawago St
CONCORD,DOCK,see,Concord St: see Dock St
DOCK,CONCORD,see,Concord St: see Dock St
CONCORD,UNION DOCK,see,Concord St: see Union Dock
UNION DOCK,CONCORD,see,Concord St: see Union Dock
CONCORD,UNION,see,Concord St: see Union St
UNION,CONCORD,see,Concord St: see Union St
CONCORD,WAGNER,now,Concord St: now Wagner St
CONCORD,WARDEN,became,Concord St: became Warden St
CONEWAGO,CONEWANGO,see,Conewago St: see Conewango St
CONEWANGO,CONEWAGO,see,Conewago St: see Conewango St
CONEWAGO,LEXINGTON,see,Conewago St: see Lexington St
LEXINGTON,CONEWAGO,see,Conewago St: see Lexington St
CONNAWAGO,LEXINGTON,now,Connawago St: now Lexington St
CONSOLIDATED R R,C R R,see,Consolidated R R: see N C R R
C R R,CONSOLIDATED R R,see,Consolidated R R: see N C R R
JEFFERSON,CONWAY,was,Conway St: was Jefferson St
COOK,PATTERSON,now,Cook St: now Patterson Ave
COOKE,PATTERSON,now,Cooke St: now Patterson Ave
CROSS,COOPER,was,Cooper Court: was Cross St Court
COOPER,KUPER,see,Cooper Place: see Kuper Place
KUPER,COOPER,see,Cooper Place: see Kuper Place
COOPER,DOVER,became part of,Cooper Place: became part of Dover St
CORK,MARKET SPACE,now,Cork St: now Market Space
LITTLE PACA,CORNELL,was,Cornell St: was Little Paca St
COTTAGE,GUTMAN,became,Cottage Ave: became Gutman Ave
COTTAGE,KINGSLEY,became,Cottage Ave: became Kingsley St
COURTLAND,PAUL,became part of,Courtland St: became part of St Paul Place
COVE,FREMONT OR,now,Cove St: now Fremont St or Ave
COVE,FREMONT,now,Cove St: now Fremont St
LEONARD,COVINGTON,was,Covington St: was Leonard St
4TH,COVINGTON,was,Covington St: was 4th St
COWPEN,GARRETT,now,Cowpen Alley: now Garrett St
PARK,COWPEN,was,Cowpen Alley: was Park Lane
OAK,COX,was,Cox St: was Oak St
COX,OBER,became,Cox St: became Ober St
GRINDALL,CRANDALL,was,Crandall Court: was Grindall Court
THOMPSON,CRAWFORD,was,Crawford St: was Thompson Ave
PATAPSCO,CREAMER,was,Creamer Alley: was Patapsco Ave
GEORGE,CRISP,was,Crisp St: was George St
CROMWELL,HOMEWOOD,became part of,Cromwell St: became part of Homewood Ave
PART OF 10,CROOKED,was,Crooked Lane: was part of 10’ Lane
CROSS,PIERCE,became,Cross Alley: became Pierce St
HAGUE,CROSS,was,Cross St: was Hague St
CROSS,36TH IN HAMPDEN,became,Cross St: became 36th St in Hampden
KELLY,CROWTHER,was,Crowther Alley: was Kelly Place
OAK IN HAMPDEN,CROWTHER,was,Crowther Alley: was Oak Ave in Hampden
CRYSTAL,BUCHANAN,became part of,Crystal Ave: became part of Buchanan St
ORCHARD,CULLISON,was,Cullison Court: was Orchard Court
CUMBERLAND,REFUGE,became,Cumberland Court: became Refuge Court
PART OF CHESAPEAKE,CURLEY,was,Curley St: was part of Chesapeake St
FORMAN,CUSTOM HOUSE,was,Custom House Ave: was Forman St
POST OFFICE,CUSTOM HOUSE,was,Custom House Ave: was Post Office Ave
DOUGLAS,DALLAS,was,Dallas St: was Douglas Place
STATE,DALLAS,was,Dallas St: was State St
WEBSTER,DAMMANN,was,Dammann Court: was Webster Court
DARK,STEWART,now,Dark Lane: now Stewart Court
DAVID,ASH,became,David St: became Ash St
DAVIS,HUNTER,became,Davis St: became Hunter St
PEARL,DAVIS,was,Davis St: was Pearl St n.d. Atl 2
DAWSON,OTTERBEIN,became part of,Dawson Alley: became part of Otterbein
DAWSON,BELNORD,became part of,Dawson St: became part of Belnord
HARE,DECKER,was,Decker Ave: was Hare St
DECKER,MARYLAND,now,Decker St: now Maryland Ave
DELUOL,LITTLE MONUMENT,now,Deluol Alley: now Little Monument St n.d. Atl 3
MOORE,DULEOL,was,Duleol Court: was Moore Court
